name,stars,language,forks_count,watchers,last_push,created_at,description,url
CoNLL-Merger,0,Python,0,0,2024-11-02 15:57:23+00:00,2024-10-18 04:56:24+00:00,N/A,https://github.com/SakibAhmedShuva/CoNLL-Merger
CoNLL-Duplicates-Remover,0,Python,0,0,2024-10-26 19:30:10+00:00,2024-10-26 19:09:13+00:00,CoNLL-Duplicates Remover,https://github.com/SakibAhmedShuva/CoNLL-Duplicates-Remover
commodity-price-scraper,0,Python,0,0,2024-11-03 11:18:56+00:00,2024-06-27 05:51:00+00:00,A Python script that automatically scrapes real-time commodity prices from tradingeconomics.com and formats them for easy sharing.,https://github.com/SakibAhmedShuva/commodity-price-scraper
COCO-JSON-to-YOLO-Bounding-Box,0,Jupyter Notebook,0,0,2024-11-12 17:24:01+00:00,2024-11-06 17:49:51+00:00,COCO-JSON-to YOLO-Converter,https://github.com/SakibAhmedShuva/COCO-JSON-to-YOLO-Bounding-Box
Detectron2-Training,0,Jupyter Notebook,0,0,2025-04-24 09:39:43+00:00,2025-01-04 17:42:00+00:00,Detectron2 Training,https://github.com/SakibAhmedShuva/Detectron2-Training
COCO-JSON-Splitter,0,Jupyter Notebook,0,0,2025-01-11 15:59:02+00:00,2025-01-02 16:23:19+00:00,COCO JSON Splitter,https://github.com/SakibAhmedShuva/COCO-JSON-Splitter
COCO-JSON-Segmentation-Visualizer,0,Jupyter Notebook,0,0,2024-12-03 17:59:08+00:00,2024-11-10 17:42:05+00:00,COCO-JSON-Segmentation-Visualizer,https://github.com/SakibAhmedShuva/COCO-JSON-Segmentation-Visualizer
COCO-JSON-Annotation-Master,0,Jupyter Notebook,1,0,2025-04-03 16:45:10+00:00,2024-09-25 18:06:02+00:00,"COCO JSON Annotation Master for CVAT, Roboflow, etc. You can modify the annotations easily with a user-friendly react app.",https://github.com/SakibAhmedShuva/COCO-JSON-Annotation-Master
car-distance-and-visibility-detector,0,Python,0,0,2024-09-29 18:18:46+00:00,2024-04-25 17:47:32+00:00,A Python application that uses YOLOv8 to detect a car in an image and checks whether the car is properly captured with full body visible or some parts are missing.,https://github.com/SakibAhmedShuva/car-distance-and-visibility-detector
blog-title-generator,0,HTML,0,0,2025-02-25 16:45:50+00:00,2025-02-25 16:30:37+00:00,blog-title-generator,https://github.com/SakibAhmedShuva/blog-title-generator
bengali-whisper-transcription,0,Jupyter Notebook,0,0,2025-04-22 17:17:48+00:00,2025-04-19 17:50:34+00:00,bengali-whisper-transcription,https://github.com/SakibAhmedShuva/bengali-whisper-transcription
Automatic-Segmentation-Annotation-with-YOLOv8-SAM,0,Jupyter Notebook,0,0,2024-10-01 18:03:23+00:00,2024-09-23 17:57:24+00:00,Automatic Segmentation or Annotation with YOLOv8 and Segment Anything Model (SAM),https://github.com/SakibAhmedShuva/Automatic-Segmentation-Annotation-with-YOLOv8-SAM
Auto-NER-Annotation-with-Hugging-Face-Model,0,Python,0,0,2024-10-29 17:25:58+00:00,2024-10-24 17:01:12+00:00,Auto NER Annotation with Hugging Face Model,https://github.com/SakibAhmedShuva/Auto-NER-Annotation-with-Hugging-Face-Model
